La ciudad San Francisco está en las coordenadas (235, 315) sus ciudades colidantes son: 
· Chicago, que está a una distancia de 82
· Manila, que está a una distancia de 784
· Tokio, que está a una distancia de 993
La ciudad Chicago está en las coordenadas (300, 280) sus ciudades colidantes son: 
· Montreal, que está a una distancia de 73
· Atlanta, que está a una distancia de 20
La ciudad Atlanta está en las coordenadas (320, 320) sus ciudades colidantes son: 
· Chicago, que está a una distancia de 20
· Miami, que está a una distancia de 20
· Washington, que está a una distancia de 30
La ciudad Montreal está en las coordenadas (350, 280) sus ciudades colidantes son: 
· Chicago, que está a una distancia de 73
· Washington, que está a una distancia de 76
La ciudad Nueva York está en las coordenadas (380, 290) sus ciudades colidantes son: 
· Montreal, que está a una distancia de 114
· Washington, que está a una distancia de 95
· Londres, que está a una distancia de 479
· Madrid, que está a una distancia de 407
La ciudad Washington está en las coordenadas (360, 330) sus ciudades colidantes son: 
· Montreal, que está a una distancia de 76
· Atlanta, que está a una distancia de 30
· Miami, que está a una distancia de 36
La ciudad Londres está en las coordenadas (700, 230) sus ciudades colidantes son: 
· Madrid, que está a una distancia de 615
· Paris, que está a una distancia de 670
· Essen, que está a una distancia de 735
La ciudad Madrid está en las coordenadas (687, 290) sus ciudades colidantes son: 
· Londres, que está a una distancia de 615
· Paris, que está a una distancia de 621
· Argel, que está a una distancia de 564
La ciudad Paris está en las coordenadas (727, 250) sus ciudades colidantes son: 
· Madrid, que está a una distancia de 621
· Londres, que está a una distancia de 670
· Essen, que está a una distancia de 739
· Argel, que está a una distancia de 623
· Milan, que está a una distancia de 706
La ciudad Essen está en las coordenadas (755, 190) sus ciudades colidantes son: 
· Londres, que está a una distancia de 735
· Paris, que está a una distancia de 739
· Milan, que está a una distancia de 768
La ciudad Milan está en las coordenadas (755, 235) sus ciudades colidantes son: 
· Essen, que está a una distancia de 768
· Paris, que está a una distancia de 706
· Estambul, que está a una distancia de 747
La ciudad San Petersburgo está en las coordenadas (815, 210) sus ciudades colidantes son: 
· Essen, que está a una distancia de 828
· Estambul, que está a una distancia de 808
· Moscu, que está a una distancia de 895
La ciudad Los Angeles está en las coordenadas (275, 355) sus ciudades colidantes son: 
· Chicago, que está a una distancia de 82
· Sidney, que está a una distancia de 680
La ciudad Miami está en las coordenadas (380, 360) sus ciudades colidantes son: 
· Washington, que está a una distancia de 36
· Atlanta, que está a una distancia de 20
· Bogota, que está a una distancia de 63
La ciudad Mexico DF está en las coordenadas (300, 385) sus ciudades colidantes son: 
· Miami, que está a una distancia de 87
· Chicago, que está a una distancia de 87
· Bogota, que está a una distancia de 104
· Lima, que está a una distancia de 151
La ciudad Bogota está en las coordenadas (400, 460) sus ciudades colidantes son: 
· Miami, que está a una distancia de 63
· Lima, que está a una distancia de 139
La ciudad Lima está en las coordenadas (395, 520) sus ciudades colidantes son: 
· Bogota, que está a una distancia de 139
La ciudad Santiago de Chile está en las coordenadas (430, 620) sus ciudades colidantes son: 
· Lima, que está a una distancia de 227
La ciudad Buenos Aires está en las coordenadas (453, 670) sus ciudades colidantes son: 
· Bogota, que está a una distancia de 225
La ciudad Sao Paulo está en las coordenadas (520, 570) sus ciudades colidantes son: 
· Bogota, que está a una distancia de 78
· Lagos, que está a una distancia de 265
· Madrid, que está a una distancia de 400
La ciudad Lagos está en las coordenadas (710, 450) sus ciudades colidantes son: 
